left_x_m,left_y_m,right_x_m,right_y_m
25.000000,0.000000,31.000000,0.000000
23.776413,4.635255,29.482752,6.489357
20.225425,8.816779,25.079527,12.343490
14.694631,12.135255,18.221343,16.989357
7.725425,14.265848,9.579527,19.972187
0.000000,15.000000,0.000000,21.000000
-7.725425,14.265848,-9.579527,19.972187
-14.694631,12.135255,-18.221343,16.989357
-20.225425,8.816779,-25.079527,12.343490
-23.776413,4.635255,-29.482752,6.489357
-25.000000,0.000000,-31.000000,0.000000
-23.776413,-4.635255,-29.482752,-6.489357
-20.225425,-8.816779,-25.079527,-12.343490
-14.694631,-12.135255,-18.221343,-16.989357
-7.725425,-14.265848,-9.579527,-19.972187
0.000000,-15.000000,0.000000,-21.000000
7.725425,-14.265848,9.579527,-19.972187
14.694631,-12.135255,18.221343,-16.989357
20.225425,-8.816779,25.079527,-12.343490
23.776413,-4.635255,29.482752,-6.489357
