left_x_m,left_y_m,right_x_m,right_y_m
98.966614,121.217793,99.075477,116.982993
121.076844,123.438614,121.185707,119.236473
128.958580,123.982933,129.067444,119.933201
170.707833,121.479067,170.903787,117.549085
179.351615,118.398222,179.090342,113.760626
197.118181,121.402862,197.227045,115.448014
206.600215,115.883469,206.709079,112.584897
215.363748,121.217793,215.472611,116.863243
224.845781,116.787038,224.954645,113.194534
233.685519,122.545931,233.805269,117.549085
247.565648,119.236473,247.674512,115.197627
266.997830,126.824277,268.086468,122.197567
289.554401,126.105776,289.663265,121.968953
311.555768,136.262765,311.664632,130.177281
325.163738,140.737066,325.686284,134.891082
339.958323,133.562944,325.686284,133.562944
334.482476,127.292391,325.686284,131.472760
331.456063,125.267525,325.163738,125.267525
336.202524,116.144742,323.694077,116.787038
330.944404,97.289539,323.900918,97.289539
329.496516,92.869670,323.476350,94.546172
319.372186,82.745340,316.487296,84.008160
321.636552,68.745460,315.899432,68.745460
320.166891,65.827911,314.952317,66.927435
310.107880,52.176396,306.145239,53.504534
304.446964,38.013220,301.170165,38.132970
313.493543,25.014887,307.418945,25.232615
313.896339,17.176696,307.985036,17.176696
303.009962,9.055460,293.038042,12.637077
296.162432,1.478542,291.731677,2.763134
294.289975,-7.524491,291.296222,-6.403195
282.695984,-46.824309,277.677365,-44.940966
277.252796,-52.844475,272.615200,-51.472792
280.028822,-60.541143,272.767609,-60.323416
270.187538,-71.939179,262.665052,-68.945426
279.440958,-81.573622,269.327514,-81.573622
278.319661,-92.296703,269.458151,-92.296703
265.800329,-104.304376,261.772369,-100.918713
246.803602,-111.434952,246.912466,-106.557856
232.629540,-107.167493,236.450658,-103.803602
220.698072,-95.508184,224.388554,-92.144293
193.188199,-88.497357,193.297063,-83.500511
160.714139,-122.179805,160.823003,-117.378913
130.918128,-118.032096,133.922767,-115.876594
132.496652,-107.167493,137.743885,-107.396106
125.311644,-98.044709,131.255605,-97.870527
129.753285,-88.497357,135.381542,-85.002831
107.784578,-86.374514,107.893442,-81.573622
107.893442,-88.497357,96.658702,-88.497357
87.361736,-117.542209,87.470600,-113.427159
83.856323,-116.791049,85.870303,-114.537569
81.363343,-106.557856,86.665008,-106.394560
70.879763,-101.931146,75.430268,-98.295096
66.753826,-94.669933,70.030626,-90.402473
54.691722,-94.887660,58.316885,-91.131860
49.858171,-87.419606,54.691722,-83.718238
37.981134,-88.834835,38.089998,-84.121034
29.729261,-90.598428,29.838125,-85.764877
-12.085310,-89.803723,-11.976446,-85.764877
-19.629569,-86.374514,-19.390068,-82.194146
-26.085190,-86.374514,-26.194054,-81.181713
-26.901668,-86.450719,-29.884535,-81.181713
-27.054077,-88.834835,-38.811364,-92.144293
-26.085190,-98.044709,-34.924927,-100.733644
-20.348070,-105.665173,-31.561037,-108.582721
-20.903275,-108.582721,-29.470853,-109.943519
-21.883049,-111.064815,-27.445987,-111.064815
-23.864369,-113.884387,-27.837896,-111.641793
-28.785011,-115.430252,-28.676147,-111.282543
-30.167581,-115.430252,-30.058717,-111.097474
-32.279538,-115.430252,-31.985606,-109.355654
-48.511125,-112.871954,-46.333849,-109.355654
-53.039857,-109.943519,-49.937240,-108.267017
-58.091136,-107.167493,-55.968292,-104.304376
-64.437893,-102.780283,-55.707019,-103.052442
-60.442593,-95.050956,-55.293337,-96.662140
-59.549910,-94.419546,-55.445746,-90.946792
-60.442593,-94.158273,-58.733432,-89.803723
-68.879535,-93.624841,-69.010171,-89.128767
-68.879535,-94.158273,-73.625995,-93.897000
-72.178107,-107.167493,-77.849909,-106.884447
-75.150087,-113.274750,-76.848362,-109.736677
